Id,MS Zoning,Street,Lot Shape,Land Contour,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Sale Type,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Total Bsmt SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice
1044,RM,Pave,Reg,Lvl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,COD,21.0,1680,6,1971,1971,232.0,483.0,987,0.0,1,1,4,0,1971.0,1.0,264.0,0,0,85400
2752,RL,Pave,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,WD ,64.0,7488,7,2005,2005,0.0,1208.0,1208,0.0,2,0,6,0,2005.0,2.0,632.0,105,58,183600
807,RL,Pave,Reg,Bnk,SawyerW,Feedr,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,None,None,None,None,None,GasA,Ex,Y,SBrkr,TA,Mod,TA,Attchd,Unf,TA,TA,P,WD ,120.0,26400,5,1880,2007,0.0,0.0,2016,0.0,1,0,7,1,1900.0,2.0,576.0,0,0,131000
1177,FV,Pave,Reg,Lvl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Detchd,Unf,TA,TA,Y,ConLD,24.0,2645,8,1999,2000,456.0,960.0,1607,1.0,2,1,7,0,2000.0,2.0,480.0,169,0,200000
1480,RL,Pave,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,WD ,74.0,9627,7,2007,2007,0.0,1351.0,1361,0.0,2,0,6,0,2007.0,2.0,610.0,0,50,193000
324,RL,Pave,Reg,Lvl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,WD ,93.0,10114,5,2004,2005,0.0,1430.0,1430,0.0,2,0,7,0,2004.0,2.0,624.0,0,0,173500
1311,RM,Pave,Reg,Lvl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,AsbShng,AsbShng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,TA,Typ,None,Detchd,Unf,Fa,Fa,Y,COD,34.0,4571,5,1916,1950,0.0,624.0,1344,0.0,1,0,7,0,1916.0,3.0,513.0,0,0,98000
770,RL,Pave,Reg,Lvl,Sawyer,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,WD ,80.0,8816,5,1963,1963,0.0,1121.0,1121,1.0,1,0,5,0,1963.0,2.0,480.0,0,80,139000
2063,RL,Pave,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,WD ,71.0,8197,6,1977,1977,148.0,660.0,1285,0.0,1,1,7,1,1977.0,2.0,528.0,138,0,143500
69,FV,Pave,Reg,Lvl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,Unf,TA,TA,Y,Con,72.0,8640,7,2009,2009,0.0,756.0,1547,0.0,2,1,7,0,2009.0,2.0,614.0,169,45,215200
2062,RL,Pave,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Po,Attchd,Fin,TA,TA,Y,WD ,109.0,8724,5,1968,1968,0.0,894.0,894,0.0,1,0,5,1,1968.0,2.0,450.0,0,0,129000
351,RL,Pave,IR1,Lvl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Ex,Attchd,Fin,TA,TA,Y,WD ,40.0,5664,8,2000,2000,0.0,1501.0,1659,1.0,2,0,5,1,2000.0,2.0,499.0,212,59,278000
2393,RL,Pave,IR1,Lvl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,New,103.0,12867,8,2005,2006,0.0,1209.0,2253,0.0,2,1,8,1,2005.0,2.0,575.0,243,142,344133
12,RL,Pave,IR1,Lvl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Attchd,Fin,TA,TA,Y,WD ,67.3,7980,6,1992,2007,0.0,1168.0,1187,1.0,2,0,6,0,1992.0,2.0,420.0,483,21,185000
2339,RL,Pave,Reg,Bnk,Gilbert,Norm,Norm,2fmCon,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,GasA,TA,N,SBrkr,TA,Typ,None,Attchd,Fin,TA,TA,Y,WD ,100.0,34650,5,1955,1955,0.0,1056.0,1056,1.0,1,0,5,0,1955.0,2.0,572.0,264,0,145000
624,RL,Pave,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,WD ,92.0,10573,6,1961,1961,3.0,1453.0,1453,1.0,2,0,6,1,1961.0,2.0,530.0,0,49,187500
86,RL,Pave,Reg,Lvl,Sawyer,RRAe,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,WD ,65.0,8450,5,1965,2009,0.0,894.0,894,1.0,1,0,5,1,1973.0,1.0,336.0,416,144,138500
1534,RL,Pave,IR1,HLS,Crawfor,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Min2,Gd,Detchd,Unf,TA,TA,Y,WD ,78.4,11700,5,1937,1995,0.0,942.0,1938,0.0,2,0,7,1,1937.0,1.0,240.0,0,40,198000
2243,C (all),Pave,Reg,Lvl,IDOTRR,Feedr,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,TA,Typ,None,None,None,None,None,N,WD ,75.0,8250,5,1895,2006,0.0,957.0,1991,0.0,2,0,9,0,1895.0,0.0,0.0,0,0,119600
1957,RL,Pave,Reg,Lvl,NAmes,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,Mn,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Po,Detchd,Unf,TA,TA,Y,WD ,60.0,8064,5,1949,2006,0.0,672.0,924,0.0,1,0,6,1,2003.0,2.0,576.0,0,0,122900
380,RL,Pave,Reg,Lvl,NWAmes,PosN,Norm,1Fam,1Story,Hip,WdShngl,BrkFace,BrkFace,None,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,WD ,80.0,9600,8,1981,1981,0.0,2524.0,2524,1.0,2,1,9,1,1981.0,2.0,542.0,474,120,278000
2860,RL,Pave,IR1,HLS,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Fa,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,WD ,77.6,11435,8,1929,1950,0.0,792.0,1517,0.0,1,0,7,2,1931.0,2.0,400.0,0,0,230000
2517,RL,Pave,IR1,Lvl,Veenker,Norm,Norm,TwnhsE,1Story,Hip,CompShg,BrkFace,BrkFace,None,Gd,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,WD ,30.0,9549,8,1995,1996,0.0,1494.0,1494,1.0,1,1,6,1,1995.0,2.0,481.0,0,30,270000
1933,RL,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,N,WD ,60.0,10950,6,1952,1952,0.0,948.0,948,0.0,1,0,5,0,1952.0,2.0,410.0,0,48,125000
820,RL,Pave,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,WD ,79.0,10637,8,2007,2008,336.0,1705.0,1718,1.0,2,0,7,1,2007.0,3.0,826.0,208,44,297000
675,RL,Pave,IR1,HLS,NAmes,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,Gd,Unf,Unf,GasA,Fa,Y,SBrkr,TA,Typ,Gd,Basment,RFn,TA,TA,Y,WD ,80.0,9000,6,1958,1958,82.0,160.0,1142,0.0,1,0,5,1,1958.0,1.0,384.0,0,28,113500
2910,RM,Pave,Reg,Lvl,MeadowV,Norm,Norm,TwnhsE,2Story,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,TA,TA,No,ALQ,Rec,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,WD ,41.0,2665,5,1977,1977,0.0,757.0,1475,0.0,2,0,6,1,1977.0,1.0,336.0,104,26,127000
21,RL,Pave,IR1,Lvl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,COD,105.0,11751,6,1977,1977,480.0,1844.0,1844,0.0,2,0,7,1,1977.0,2.0,546.0,0,122,190000
1873,RL,Pave,Reg,Lvl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Fa,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,WD ,80.0,9600,7,1973,1973,320.0,1242.0,1242,0.0,1,1,6,1,1973.0,2.0,528.0,0,0,175500
2125,RL,Pave,IR2,Lvl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,Gd,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,WD ,60.0,8428,5,1994,1994,0.0,990.0,990,1.0,1,0,5,0,1995.0,1.0,384.0,256,0,146000
1489,RL,Pave,Reg,Lvl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,CBlock,TA,TA,No,BLQ,LwQ,GasA,Gd,Y,SBrkr,TA,Typ,None,Attchd,Fin,TA,TA,Y,WD ,75.0,9937,5,1965,1965,0.0,1256.0,1256,1.0,1,1,6,0,1965.0,1.0,276.0,736,68,147500
2383,RL,Pave,Reg,Lvl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Ex,TA,PConc,Ex,Gd,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,New,107.0,13891,10,2006,2006,0.0,2076.0,2076,1.0,2,1,7,1,2006.0,3.0,850.0,216,229,465000
983,RL,Pave,IR1,Lvl,Mitchel,Norm,Norm,1Fam,SFoyer,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,WD ,70.6,9101,5,1978,1978,104.0,1097.0,1110,1.0,1,0,4,1,1978.0,2.0,602.0,303,30,165500
1325,RM,Pave,Reg,Lvl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,N,FuseF,TA,Typ,None,Attchd,Unf,Fa,TA,Y,WD ,81.0,12150,5,1954,1954,335.0,1050.0,1795,0.0,2,0,7,0,1954.0,1.0,352.0,0,0,131500
1378,RL,Pave,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,WD ,70.0,11200,5,1965,1965,0.0,1040.0,1040,1.0,1,0,5,0,1965.0,1.0,384.0,0,0,129500
1537,RL,Pave,IR1,HLS,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,Stone,TA,TA,PConc,TA,Fa,No,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Detchd,Fin,Fa,TA,Y,WD ,100.0,9670,8,1935,1950,40.0,608.0,1873,0.0,1,1,9,2,1935.0,2.0,786.0,0,0,257076
905,RL,Pave,Reg,Lvl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,BLQ,GasA,Ex,Y,SBrkr,TA,Min2,None,Detchd,Unf,TA,TA,Y,WD ,60.0,10998,5,1941,1960,0.0,984.0,1604,0.0,2,0,6,0,1977.0,2.0,660.0,0,68,117000
1532,RL,Pave,Reg,HLS,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Stucco,Wd Shng,None,TA,Fa,BrkTil,Gd,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,P,WD ,60.0,7200,7,1931,2000,0.0,776.0,1502,0.0,1,1,6,1,1931.0,1.0,270.0,0,0,149000
132,RL,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,Rec,LwQ,GasA,TA,Y,SBrkr,TA,Typ,None,Attchd,RFn,TA,TA,Y,WD ,80.0,9920,5,1954,1954,110.0,1056.0,1063,1.0,1,0,6,0,1954.0,1.0,280.0,0,0,128000
1078,RL,Pave,Reg,Lvl,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,BuiltIn,RFn,TA,TA,Y,WD ,36.0,2448,7,2003,2004,106.0,764.0,1626,0.0,2,1,6,0,2003.0,2.0,474.0,0,27,155000
2511,FV,Pave,Reg,Lvl,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Detchd,Unf,TA,TA,Y,WD ,52.3,2998,6,2000,2000,513.0,756.0,1524,0.0,2,1,4,0,2000.0,2.0,440.0,0,32,166000
912,RL,Pave,Reg,Lvl,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Plywood,None,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,Gd,Min2,TA,Detchd,Unf,TA,TA,Y,WD ,65.0,7804,4,1928,1950,0.0,1122.0,1981,1.0,2,0,7,2,1981.0,2.0,576.0,431,44,135000
2351,RL,Pave,IR1,Lvl,NWAmes,RRAn,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,LwQ,GasA,TA,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD ,80.0,16692,7,1978,1978,184.0,1392.0,2784,1.0,3,1,12,2,1978.0,2.0,564.0,0,112,250000
330,RM,Pave,Reg,Lvl,MeadowV,Norm,Norm,Twnhs,2Story,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,CBlock,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,None,None,None,None,Y,WD ,21.0,1476,4,1970,1970,0.0,546.0,1092,0.0,1,1,5,0,1970.0,0.0,0.0,200,26,76000
2586,RL,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Gd,Attchd,Unf,TA,TA,Y,WD ,75.0,10170,6,1951,1951,522.0,216.0,1575,0.0,1,1,5,1,1951.0,2.0,400.0,0,0,155000
224,RL,Pave,Reg,Lvl,Sawyer,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Attchd,Fin,TA,TA,Y,WD ,80.0,9364,6,1969,1969,143.0,663.0,1352,0.0,1,1,7,0,1969.0,1.0,299.0,379,36,158000
98,FV,Pave,Reg,Lvl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,ALQ,GasA,Ex,Y,SBrkr,Gd,Typ,None,Detchd,RFn,TA,TA,Y,WD ,24.0,2544,7,2004,2005,0.0,600.0,1200,1.0,2,1,4,0,2004.0,2.0,480.0,0,172,149500
2565,RL,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,FuseA,TA,Typ,None,Attchd,Unf,TA,TA,Y,WD ,82.0,9888,5,1954,1975,0.0,936.0,936,0.0,1,0,5,0,1954.0,1.0,240.0,0,0,121000
1934,RL,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,ALQ,GasA,TA,Y,FuseF,TA,Typ,None,Attchd,Fin,TA,TA,Y,WD ,68.0,7942,6,1953,1953,0.0,1040.0,1040,0.0,1,0,6,0,1953.0,1.0,293.0,0,0,136000
997,RL,Pave,IR2,Lvl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,WD ,88.4,15038,6,1996,1996,0.0,916.0,1636,0.0,2,1,7,1,1996.0,2.0,386.0,168,84,173000
64,RL,Pave,IR1,Lvl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,WD ,92.0,11764,8,1999,2007,348.0,1152.0,2270,0.0,2,1,9,1,1999.0,3.0,671.0,132,57,290000
1799,FV,Pave,Reg,Lvl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,BuiltIn,Fin,TA,TA,Y,New,75.0,9000,8,2007,2007,0.0,1184.0,2610,0.0,2,1,11,1,2007.0,2.0,550.0,208,364,303477
230,RL,Pave,IR1,Low,ClearCr,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,Gd,Gd,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,WD ,103.5,20062,7,1977,2001,0.0,1420.0,1483,1.0,1,1,4,2,1977.0,2.0,690.0,496,0,270000
1295,RM,Pave,Reg,Lvl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,Fa,Fa,BrkTil,TA,TA,No,Rec,Unf,GasA,Gd,N,FuseA,Ex,Typ,Gd,Detchd,Unf,Fa,Fa,N,WD ,81.0,7308,5,1920,1950,0.0,936.0,1740,0.0,1,0,6,1,1920.0,1.0,225.0,0,0,122250
638,RL,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,AsbShng,AsbShng,None,TA,TA,CBlock,TA,TA,No,Rec,LwQ,GasA,Gd,Y,FuseA,Gd,Typ,None,Attchd,Unf,TA,TA,Y,WD ,70.0,8750,5,1955,1955,0.0,1382.0,1382,0.0,1,0,6,0,1955.0,1.0,350.0,280,0,153000
